11,30/9/2014,7:37:08,PM,2015
20,30/9/2014,6:30:31,PM,2015
21,30/9/2014,6:30:28,PM,2015
780,30/9/2014,7:55:41,AM,2015
975,29/9/2014,7:34:33,PM,2015
1833,29/9/2014,7:42:51,AM,2015
2038,27/9/2014,5:00:24,PM,2015
2073,27/9/2014,12:25:40,PM,2015
2074,27/9/2014,12:25:37,PM,2015
2109,27/9/2014,10:15:00,AM,2015
2159,26/9/2014,7:30:35,PM,2015
2224,26/9/2014,5:13:53,PM,2015
2770,26/9/2014,12:10:49,PM,2015
2966,26/9/2014,8:27:26,AM,2015
3312,25/9/2014,7:30:42,PM,2015
3340,25/9/2014,5:22:02,PM,2015
3341,25/9/2014,5:21:48,PM,2015
4488,24/9/2014,7:33:19,PM,2015
4520,24/9/2014,5:25:36,PM,2015
4541,24/9/2014,5:17:20,PM,2015
5236,24/9/2014,8:10:08,AM,2015
5575,23/9/2014,7:32:36,PM,2015
5630,23/9/2014,5:19:01,PM,2015
5631,23/9/2014,5:18:58,PM,2015
5882,23/9/2014,1:36:37,PM,2015
6228,23/9/2014,12:15:10,PM,2015
6961,22/9/2014,1:19:26,PM,2015
6962,22/9/2014,1:19:23,PM,2015
7517,22/9/2014,8:06:31,AM,2015
7862,20/9/2014,5:01:04,PM,2015
7999,19/9/2014,7:37:17,PM,2015
8035,19/9/2014,5:29:08,PM,2015
8038,19/9/2014,5:28:48,PM,2015
8473,19/9/2014,12:25:44,PM,2015
8930,19/9/2014,7:58:24,AM,2015
9225,18/9/2014,7:34:10,PM,2015
9282,18/9/2014,5:15:57,PM,2015
9287,18/9/2014,5:15:32,PM,2015
10173,18/9/2014,8:00:50,AM,2015
10439,17/9/2014,7:34:59,PM,2015
10488,17/9/2014,5:18:48,PM,2015
10489,17/9/2014,5:18:45,PM,2015
11209,17/9/2014,8:02:58,AM,2015
11529,16/9/2014,7:34:35,PM,2015
12826,16/9/2014,8:07:37,AM,2015
13335,15/9/2014,7:30:37,PM,2015
14638,15/9/2014,8:16:17,AM,2015
15214,13/9/2014,4:55:25,PM,2015
15238,13/9/2014,12:19:37,PM,2015
15250,13/9/2014,12:03:40,PM,2015
15368,12/9/2014,7:30:52,PM,2015
15892,12/9/2014,12:45:14,PM,2015
15894,12/9/2014,12:45:11,PM,2015
16719,12/9/2014,8:02:08,AM,2015
17151,11/9/2014,7:36:01,PM,2015
17264,11/9/2014,5:11:11,PM,2015
17266,11/9/2014,5:11:09,PM,2015
17840,11/9/2014,12:25:56,PM,2015
17842,11/9/2014,12:25:52,PM,2015
18561,11/9/2014,7:54:13,AM,2015
18911,10/9/2014,7:33:18,PM,2015
18994,10/9/2014,5:14:28,PM,2015
18996,10/9/2014,5:14:23,PM,2015
19500,10/9/2014,12:28:38,PM,2015
19542,10/9/2014,12:20:59,PM,2015
20387,9/9/2014,7:26:03,PM,2015
20437,9/9/2014,5:19:52,PM,2015
20531,9/9/2014,5:05:23,PM,2015
21172,9/9/2014,12:18:35,PM,2015
21174,9/9/2014,12:18:32,PM,2015
21650,9/9/2014,8:16:04,AM,2015
22154,8/9/2014,7:32:31,PM,2015
22197,8/9/2014,5:24:29,PM,2015
22199,8/9/2014,5:24:25,PM,2015
22595,8/9/2014,12:57:57,PM,2015
22597,8/9/2014,12:57:55,PM,2015
23584,8/9/2014,7:47:51,AM,2015
24003,6/9/2014,12:27:00,PM,2015
24176,5/9/2014,7:34:49,PM,2015
24235,5/9/2014,5:21:06,PM,2015
25631,5/9/2014,7:53:44,AM,2015
26024,4/9/2014,5:31:29,PM,2015
26028,4/9/2014,5:31:26,PM,2015
26031,4/9/2014,5:31:26,PM,2015
27504,4/9/2014,7:58:43,AM,2015
27910,3/9/2014,5:53:30,PM,2015
28529,3/9/2014,12:27:03,PM,2015
28703,3/9/2014,12:09:32,PM,2015
29237,3/9/2014,7:48:33,AM,2015
29455,2/9/2014,6:05:03,PM,2015
